"metric","n","tau","net","model","bparam","varyv","varys"
"d",1,0.73932972972973,"ba","doublewell","D","FALSE","FALSE"
"largesd",1,0.747430630630631,"ba","doublewell","D","FALSE","FALSE"
"d",2,0.766414414414414,"ba","doublewell","D","FALSE","FALSE"
"largesd",2,0.769181981981982,"ba","doublewell","D","FALSE","FALSE"
"d",3,0.758486486486487,"ba","doublewell","D","FALSE","FALSE"
"largesd",3,0.776158558558559,"ba","doublewell","D","FALSE","FALSE"
"d",4,0.76123963963964,"ba","doublewell","D","FALSE","FALSE"
"largesd",4,0.783365765765766,"ba","doublewell","D","FALSE","FALSE"
"d",5,0.748756756756757,"ba","doublewell","D","FALSE","FALSE"
"largesd",5,0.78252972972973,"ba","doublewell","D","FALSE","FALSE"
"d",6,0.822212612612613,"ba","doublewell","D","FALSE","FALSE"
"largesd",6,0.822212612612613,"ba","doublewell","D","FALSE","FALSE"
"d",1,0.736637202459987,"ba","doublewell","D","TRUE","FALSE"
"largesd",1,0.74819189249569,"ba","doublewell","D","TRUE","FALSE"
"d",2,0.756602553564579,"ba","doublewell","D","TRUE","FALSE"
"largesd",2,0.7662895754035,"ba","doublewell","D","TRUE","FALSE"
"d",3,0.756438835426177,"ba","doublewell","D","TRUE","FALSE"
"largesd",3,0.779622065698015,"ba","doublewell","D","TRUE","FALSE"
"d",4,0.761047054211611,"ba","doublewell","D","TRUE","FALSE"
"largesd",4,0.788817764513967,"ba","doublewell","D","TRUE","FALSE"
"d",5,0.768627996476098,"ba","doublewell","D","TRUE","FALSE"
"largesd",5,0.797188634150659,"ba","doublewell","D","TRUE","FALSE"
"d",6,0.830649013433824,"ba","doublewell","D","TRUE","FALSE"
"largesd",6,0.830649013433824,"ba","doublewell","D","TRUE","FALSE"
"d",1,0.744654333008763,"ba","doublewell","D","TRUE","TRUE"
"largesd",1,0.42539435248296,"ba","doublewell","D","TRUE","TRUE"
"d",2,0.730048685491723,"ba","doublewell","D","TRUE","TRUE"
"largesd",2,0.485102239532619,"ba","doublewell","D","TRUE","TRUE"
"d",3,0.731723466407011,"ba","doublewell","D","TRUE","TRUE"
"largesd",3,0.50792599805258,"ba","doublewell","D","TRUE","TRUE"
"d",4,0.714884777669588,"ba","doublewell","D","TRUE","TRUE"
"largesd",4,0.52612788055826,"ba","doublewell","D","TRUE","TRUE"
"d",5,0.718649789029536,"ba","doublewell","D","TRUE","TRUE"
"largesd",5,0.545095748133723,"ba","doublewell","D","TRUE","TRUE"
"d",6,0.776254462836741,"ba","doublewell","D","TRUE","TRUE"
"largesd",6,0.776254462836741,"ba","doublewell","D","TRUE","TRUE"
"d",1,0.713909818134326,"ba","doublewell","u","FALSE","FALSE"
"largesd",1,0.747504141226151,"ba","doublewell","u","FALSE","FALSE"
"d",2,0.779312153764108,"ba","doublewell","u","FALSE","FALSE"
"largesd",2,0.799813356406656,"ba","doublewell","u","FALSE","FALSE"
"d",3,0.809296673595919,"ba","doublewell","u","FALSE","FALSE"
"largesd",3,0.824625559147158,"ba","doublewell","u","FALSE","FALSE"
"d",4,0.826413222900636,"ba","doublewell","u","FALSE","FALSE"
"largesd",4,0.84068743628534,"ba","doublewell","u","FALSE","FALSE"
"d",5,0.839565452414899,"ba","doublewell","u","FALSE","FALSE"
"largesd",5,0.851658928396513,"ba","doublewell","u","FALSE","FALSE"
"d",6,0.945611160087504,"ba","doublewell","u","FALSE","FALSE"
"largesd",6,0.945611160087504,"ba","doublewell","u","FALSE","FALSE"
"d",1,0.736975040403403,"ba","doublewell","u","TRUE","FALSE"
"largesd",1,0.752484775855653,"ba","doublewell","u","TRUE","FALSE"
"d",2,0.796778073300334,"ba","doublewell","u","TRUE","FALSE"
"largesd",2,0.814343523537184,"ba","doublewell","u","TRUE","FALSE"
"d",3,0.824627156930122,"ba","doublewell","u","TRUE","FALSE"
"largesd",3,0.843387807960761,"ba","doublewell","u","TRUE","FALSE"
"d",4,0.845212024009137,"ba","doublewell","u","TRUE","FALSE"
"largesd",4,0.861775633669257,"ba","doublewell","u","TRUE","FALSE"
"d",5,0.858599591692858,"ba","doublewell","u","TRUE","FALSE"
"largesd",5,0.873707409188249,"ba","doublewell","u","TRUE","FALSE"
"d",6,0.952187356567577,"ba","doublewell","u","TRUE","FALSE"
"largesd",6,0.952187356567577,"ba","doublewell","u","TRUE","FALSE"
"d",1,0.737262512768131,"ba","doublewell","u","TRUE","TRUE"
"largesd",1,0.698958120531154,"ba","doublewell","u","TRUE","TRUE"
"d",2,0.78976506639428,"ba","doublewell","u","TRUE","TRUE"
"largesd",2,0.764484167517876,"ba","doublewell","u","TRUE","TRUE"
"d",3,0.81829417773238,"ba","doublewell","u","TRUE","TRUE"
"largesd",3,0.799244126659857,"ba","doublewell","u","TRUE","TRUE"
"d",4,0.83367722165475,"ba","doublewell","u","TRUE","TRUE"
"largesd",4,0.82535240040858,"ba","doublewell","u","TRUE","TRUE"
"d",5,0.84899897854954,"ba","doublewell","u","TRUE","TRUE"
"largesd",5,0.842124616956078,"ba","doublewell","u","TRUE","TRUE"
"d",6,0.936945863125639,"ba","doublewell","u","TRUE","TRUE"
"largesd",6,0.936945863125639,"ba","doublewell","u","TRUE","TRUE"
"d",1,-0.314110275689223,"ba","genereg","D","FALSE","FALSE"
"largesd",1,-0.338070175438596,"ba","genereg","D","FALSE","FALSE"
"d",2,-0.39516290726817,"ba","genereg","D","FALSE","FALSE"
"largesd",2,-0.406967418546366,"ba","genereg","D","FALSE","FALSE"
"d",3,-0.418671679197995,"ba","genereg","D","FALSE","FALSE"
"largesd",3,-0.460551378446115,"ba","genereg","D","FALSE","FALSE"
"d",4,-0.455664160401002,"ba","genereg","D","FALSE","FALSE"
"largesd",4,-0.492456140350877,"ba","genereg","D","FALSE","FALSE"
"d",5,-0.467869674185464,"ba","genereg","D","FALSE","FALSE"
"largesd",5,-0.509523809523809,"ba","genereg","D","FALSE","FALSE"
"d",6,-0.682932330827068,"ba","genereg","D","FALSE","FALSE"
"largesd",6,-0.682932330827068,"ba","genereg","D","FALSE","FALSE"
"d",1,-0.217416545718432,"ba","genereg","D","TRUE","FALSE"
"largesd",1,-0.260319303338171,"ba","genereg","D","TRUE","FALSE"
"d",2,-0.303686502177068,"ba","genereg","D","TRUE","FALSE"
"largesd",2,-0.33155297532656,"ba","genereg","D","TRUE","FALSE"
"d",3,-0.348301886792453,"ba","genereg","D","TRUE","FALSE"
"largesd",3,-0.384354136429608,"ba","genereg","D","TRUE","FALSE"
"d",4,-0.35799709724238,"ba","genereg","D","TRUE","FALSE"
"largesd",4,-0.421190130624093,"ba","genereg","D","TRUE","FALSE"
"d",5,-0.405486211901306,"ba","genereg","D","TRUE","FALSE"
"largesd",5,-0.456487663280116,"ba","genereg","D","TRUE","FALSE"
"d",6,-0.623454281567489,"ba","genereg","D","TRUE","FALSE"
"largesd",6,-0.623454281567489,"ba","genereg","D","TRUE","FALSE"
"d",1,-0.709433962264151,"ba","genereg","D","TRUE","TRUE"
"largesd",1,-0.0841799709724238,"ba","genereg","D","TRUE","TRUE"
"d",2,-0.775471698113207,"ba","genereg","D","TRUE","TRUE"
"largesd",2,-0.106269956458636,"ba","genereg","D","TRUE","TRUE"
"d",3,-0.762380261248186,"ba","genereg","D","TRUE","TRUE"
"largesd",3,-0.130740203193033,"ba","genereg","D","TRUE","TRUE"
"d",4,-0.726153846153846,"ba","genereg","D","TRUE","TRUE"
"largesd",4,-0.142322206095791,"ba","genereg","D","TRUE","TRUE"
"d",5,-0.684760522496371,"ba","genereg","D","TRUE","TRUE"
"largesd",5,-0.16911465892598,"ba","genereg","D","TRUE","TRUE"
"d",6,-0.538955007256894,"ba","genereg","D","TRUE","TRUE"
"largesd",6,-0.538955007256894,"ba","genereg","D","TRUE","TRUE"
"d",1,-0.427765432098765,"ba","genereg","u","FALSE","FALSE"
"largesd",1,-0.440555555555555,"ba","genereg","u","FALSE","FALSE"
"d",2,-0.503716049382716,"ba","genereg","u","FALSE","FALSE"
"largesd",2,-0.517098765432099,"ba","genereg","u","FALSE","FALSE"
"d",3,-0.537728395061728,"ba","genereg","u","FALSE","FALSE"
"largesd",3,-0.563395061728395,"ba","genereg","u","FALSE","FALSE"
"d",4,-0.548617283950617,"ba","genereg","u","FALSE","FALSE"
"largesd",4,-0.582172839506173,"ba","genereg","u","FALSE","FALSE"
"d",5,-0.584061728395062,"ba","genereg","u","FALSE","FALSE"
"largesd",5,-0.608049382716049,"ba","genereg","u","FALSE","FALSE"
"d",6,-0.700629629629629,"ba","genereg","u","FALSE","FALSE"
"largesd",6,-0.700629629629629,"ba","genereg","u","FALSE","FALSE"
"d",1,-0.360115315315315,"ba","genereg","u","TRUE","FALSE"
"largesd",1,-0.417845045045045,"ba","genereg","u","TRUE","FALSE"
"d",2,-0.445679279279279,"ba","genereg","u","TRUE","FALSE"
"largesd",2,-0.493362162162162,"ba","genereg","u","TRUE","FALSE"
"d",3,-0.472446846846847,"ba","genereg","u","TRUE","FALSE"
"largesd",3,-0.525174774774775,"ba","genereg","u","TRUE","FALSE"
"d",4,-0.480115315315315,"ba","genereg","u","TRUE","FALSE"
"largesd",4,-0.545873873873874,"ba","genereg","u","TRUE","FALSE"
"d",5,-0.499113513513514,"ba","genereg","u","TRUE","FALSE"
"largesd",5,-0.561527927927928,"ba","genereg","u","TRUE","FALSE"
"d",6,-0.640389189189189,"ba","genereg","u","TRUE","FALSE"
"largesd",6,-0.640389189189189,"ba","genereg","u","TRUE","FALSE"
"d",1,-0.728302702702703,"ba","genereg","u","TRUE","TRUE"
"largesd",1,-0.119668468468468,"ba","genereg","u","TRUE","TRUE"
"d",2,-0.8048,"ba","genereg","u","TRUE","TRUE"
"largesd",2,-0.147055855855856,"ba","genereg","u","TRUE","TRUE"
"d",3,-0.801902702702703,"ba","genereg","u","TRUE","TRUE"
"largesd",3,-0.160648648648649,"ba","genereg","u","TRUE","TRUE"
"d",4,-0.775264864864865,"ba","genereg","u","TRUE","TRUE"
"largesd",4,-0.175005405405405,"ba","genereg","u","TRUE","TRUE"
"d",5,-0.738248648648649,"ba","genereg","u","TRUE","TRUE"
"largesd",5,-0.195891891891892,"ba","genereg","u","TRUE","TRUE"
"d",6,-0.554493693693694,"ba","genereg","u","TRUE","TRUE"
"largesd",6,-0.554493693693694,"ba","genereg","u","TRUE","TRUE"
"d",1,-0.720989486703772,"ba","mutualistic","D","FALSE","FALSE"
"largesd",1,-0.568542568542569,"ba","mutualistic","D","FALSE","FALSE"
"d",2,-0.790286538857967,"ba","mutualistic","D","FALSE","FALSE"
"largesd",2,-0.676775922490208,"ba","mutualistic","D","FALSE","FALSE"
"d",3,-0.822758194186766,"ba","mutualistic","D","FALSE","FALSE"
"largesd",3,-0.731098742527314,"ba","mutualistic","D","FALSE","FALSE"
"d",4,-0.831399711399711,"ba","mutualistic","D","FALSE","FALSE"
"largesd",4,-0.76298495155638,"ba","mutualistic","D","FALSE","FALSE"
"d",5,-0.8482622139765,"ba","mutualistic","D","FALSE","FALSE"
"largesd",5,-0.785462791177077,"ba","mutualistic","D","FALSE","FALSE"
"d",6,-0.942535559678417,"ba","mutualistic","D","FALSE","FALSE"
"largesd",6,-0.942535559678417,"ba","mutualistic","D","FALSE","FALSE"
"d",1,-0.71024531024531,"ba","mutualistic","D","TRUE","FALSE"
"largesd",1,-0.574990723562152,"ba","mutualistic","D","TRUE","FALSE"
"d",2,-0.788975468975469,"ba","mutualistic","D","TRUE","FALSE"
"largesd",2,-0.687833436404865,"ba","mutualistic","D","TRUE","FALSE"
"d",3,-0.818948670377242,"ba","mutualistic","D","TRUE","FALSE"
"largesd",3,-0.735650381364667,"ba","mutualistic","D","TRUE","FALSE"
"d",4,-0.837138734281591,"ba","mutualistic","D","TRUE","FALSE"
"largesd",4,-0.768237476808905,"ba","mutualistic","D","TRUE","FALSE"
"d",5,-0.850777159348588,"ba","mutualistic","D","TRUE","FALSE"
"largesd",5,-0.789132137703566,"ba","mutualistic","D","TRUE","FALSE"
"d",6,-0.942255205112348,"ba","mutualistic","D","TRUE","FALSE"
"largesd",6,-0.942255205112348,"ba","mutualistic","D","TRUE","FALSE"
"d",1,-0.714582560296846,"ba","mutualistic","D","TRUE","TRUE"
"largesd",1,-0.576062667491239,"ba","mutualistic","D","TRUE","TRUE"
"d",2,-0.774801071943929,"ba","mutualistic","D","TRUE","TRUE"
"largesd",2,-0.686629560915275,"ba","mutualistic","D","TRUE","TRUE"
"d",3,-0.805706039991754,"ba","mutualistic","D","TRUE","TRUE"
"largesd",3,-0.752554112554113,"ba","mutualistic","D","TRUE","TRUE"
"d",4,-0.828967223252937,"ba","mutualistic","D","TRUE","TRUE"
"largesd",4,-0.780498866213152,"ba","mutualistic","D","TRUE","TRUE"
"d",5,-0.836149247577819,"ba","mutualistic","D","TRUE","TRUE"
"largesd",5,-0.797996289424861,"ba","mutualistic","D","TRUE","TRUE"
"d",6,-0.923826015254587,"ba","mutualistic","D","TRUE","TRUE"
"largesd",6,-0.923826015254587,"ba","mutualistic","D","TRUE","TRUE"
"d",1,-0.661562842023965,"ba","mutualistic","u","FALSE","FALSE"
"largesd",1,-0.664366295680206,"ba","mutualistic","u","FALSE","FALSE"
"d",2,-0.746747990514149,"ba","mutualistic","u","FALSE","FALSE"
"largesd",2,-0.757934393973367,"ba","mutualistic","u","FALSE","FALSE"
"d",3,-0.790235442851688,"ba","mutualistic","u","FALSE","FALSE"
"largesd",3,-0.79479329223107,"ba","mutualistic","u","FALSE","FALSE"
"d",4,-0.812445074825935,"ba","mutualistic","u","FALSE","FALSE"
"largesd",4,-0.818339153353624,"ba","mutualistic","u","FALSE","FALSE"
"d",5,-0.827073175819076,"ba","mutualistic","u","FALSE","FALSE"
"largesd",5,-0.836166701140654,"ba","mutualistic","u","FALSE","FALSE"
"d",6,-0.930167885423529,"ba","mutualistic","u","FALSE","FALSE"
"largesd",6,-0.930167885423529,"ba","mutualistic","u","FALSE","FALSE"
"d",1,-0.65419919730651,"ba","mutualistic","u","TRUE","FALSE"
"largesd",1,-0.672437446514622,"ba","mutualistic","u","TRUE","FALSE"
"d",2,-0.741708131979172,"ba","mutualistic","u","TRUE","FALSE"
"largesd",2,-0.750240543843091,"ba","mutualistic","u","TRUE","FALSE"
"d",3,-0.780104086645009,"ba","mutualistic","u","TRUE","FALSE"
"largesd",3,-0.787810928891461,"ba","mutualistic","u","TRUE","FALSE"
"d",4,-0.81151993900132,"ba","mutualistic","u","TRUE","FALSE"
"largesd",4,-0.812727290361942,"ba","mutualistic","u","TRUE","FALSE"
"d",5,-0.82256318815439,"ba","mutualistic","u","TRUE","FALSE"
"largesd",5,-0.831918035805437,"ba","mutualistic","u","TRUE","FALSE"
"d",6,-0.932333874835669,"ba","mutualistic","u","TRUE","FALSE"
"largesd",6,-0.932333874835669,"ba","mutualistic","u","TRUE","FALSE"
"d",1,-0.676521518779053,"ba","mutualistic","u","TRUE","TRUE"
"largesd",1,-0.634702916615245,"ba","mutualistic","u","TRUE","TRUE"
"d",2,-0.73856043440701,"ba","mutualistic","u","TRUE","TRUE"
"largesd",2,-0.719264091488749,"ba","mutualistic","u","TRUE","TRUE"
"d",3,-0.779082084824551,"ba","mutualistic","u","TRUE","TRUE"
"largesd",3,-0.761088419926776,"ba","mutualistic","u","TRUE","TRUE"
"d",4,-0.789771294582253,"ba","mutualistic","u","TRUE","TRUE"
"largesd",4,-0.785810638035295,"ba","mutualistic","u","TRUE","TRUE"
"d",5,-0.809090147681928,"ba","mutualistic","u","TRUE","TRUE"
"largesd",5,-0.808505244970998,"ba","mutualistic","u","TRUE","TRUE"
"d",6,-0.908428697190341,"ba","mutualistic","u","TRUE","TRUE"
"largesd",6,-0.908428697190341,"ba","mutualistic","u","TRUE","TRUE"
"d",1,0.781134654818865,"ba","SIS","D","FALSE","FALSE"
"largesd",1,0.799412166780588,"ba","SIS","D","FALSE","FALSE"
"d",2,0.807108680792891,"ba","SIS","D","FALSE","FALSE"
"largesd",2,0.840246069719754,"ba","SIS","D","FALSE","FALSE"
"d",3,0.823513328776487,"ba","SIS","D","FALSE","FALSE"
"largesd",3,0.858851674641148,"ba","SIS","D","FALSE","FALSE"
"d",4,0.834873547505126,"ba","SIS","D","FALSE","FALSE"
"largesd",4,0.870198222829802,"ba","SIS","D","FALSE","FALSE"
"d",5,0.844606971975393,"ba","SIS","D","FALSE","FALSE"
"largesd",5,0.877730690362269,"ba","SIS","D","FALSE","FALSE"
"d",6,0.919548872180451,"ba","SIS","D","FALSE","FALSE"
"largesd",6,0.919548872180451,"ba","SIS","D","FALSE","FALSE"
"d",1,0.879835953520164,"ba","SIS","D","FALSE","TRUE"
"largesd",1,0.663554340396446,"ba","SIS","D","FALSE","TRUE"
"d",2,0.863800410116199,"ba","SIS","D","FALSE","TRUE"
"largesd",2,0.731114149008886,"ba","SIS","D","FALSE","TRUE"
"d",3,0.872590567327409,"ba","SIS","D","FALSE","TRUE"
"largesd",3,0.753807245386193,"ba","SIS","D","FALSE","TRUE"
"d",4,0.85943950786056,"ba","SIS","D","FALSE","TRUE"
"largesd",4,0.773561175666439,"ba","SIS","D","FALSE","TRUE"
"d",5,0.85501025290499,"ba","SIS","D","FALSE","TRUE"
"largesd",5,0.784688995215311,"ba","SIS","D","FALSE","TRUE"
"d",6,0.885317840054682,"ba","SIS","D","FALSE","TRUE"
"largesd",6,0.885317840054682,"ba","SIS","D","FALSE","TRUE"
"d",1,0.770465926586176,"catlins","doublewell","D","FALSE","FALSE"
"largesd",1,0.772414985279421,"catlins","doublewell","D","FALSE","FALSE"
"d",2,0.797139075709694,"catlins","doublewell","D","FALSE","FALSE"
"largesd",2,0.805958458255679,"catlins","doublewell","D","FALSE","FALSE"
"d",3,0.779409556221808,"catlins","doublewell","D","FALSE","FALSE"
"largesd",3,0.794573103206115,"catlins","doublewell","D","FALSE","FALSE"
"d",4,0.782416335791265,"catlins","doublewell","D","FALSE","FALSE"
"largesd",4,0.792713718499311,"catlins","doublewell","D","FALSE","FALSE"
"d",5,0.774649272074116,"catlins","doublewell","D","FALSE","FALSE"
"largesd",5,0.786436539448451,"catlins","doublewell","D","FALSE","FALSE"
"d",6,0.760851362666451,"catlins","doublewell","D","FALSE","FALSE"
"largesd",6,0.760851362666451,"catlins","doublewell","D","FALSE","FALSE"
"d",1,0.758350951374207,"catlins","doublewell","D","TRUE","FALSE"
"largesd",1,0.758224101479915,"catlins","doublewell","D","TRUE","FALSE"
"d",2,0.80630021141649,"catlins","doublewell","D","TRUE","FALSE"
"largesd",2,0.812346723044397,"catlins","doublewell","D","TRUE","FALSE"
"d",3,0.796025369978858,"catlins","doublewell","D","TRUE","FALSE"
"largesd",3,0.801987315010571,"catlins","doublewell","D","TRUE","FALSE"
"d",4,0.776744186046512,"catlins","doublewell","D","TRUE","FALSE"
"largesd",4,0.795306553911205,"catlins","doublewell","D","TRUE","FALSE"
"d",5,0.789217758985201,"catlins","doublewell","D","TRUE","FALSE"
"largesd",5,0.789302325581395,"catlins","doublewell","D","TRUE","FALSE"
"d",6,0.769894291754757,"catlins","doublewell","D","TRUE","FALSE"
"largesd",6,0.769894291754757,"catlins","doublewell","D","TRUE","FALSE"
"d",1,0.769302325581395,"catlins","doublewell","D","TRUE","TRUE"
"largesd",1,0.720380549682875,"catlins","doublewell","D","TRUE","TRUE"
"d",2,0.737716701902748,"catlins","doublewell","D","TRUE","TRUE"
"largesd",2,0.693657505285412,"catlins","doublewell","D","TRUE","TRUE"
"d",3,0.719577167019027,"catlins","doublewell","D","TRUE","TRUE"
"largesd",3,0.680211416490486,"catlins","doublewell","D","TRUE","TRUE"
"d",4,0.69353065539112,"catlins","doublewell","D","TRUE","TRUE"
"largesd",4,0.672980972515856,"catlins","doublewell","D","TRUE","TRUE"
"d",5,0.718604651162791,"catlins","doublewell","D","TRUE","TRUE"
"largesd",5,0.667906976744186,"catlins","doublewell","D","TRUE","TRUE"
"d",6,0.718562367864693,"catlins","doublewell","D","TRUE","TRUE"
"largesd",6,0.718562367864693,"catlins","doublewell","D","TRUE","TRUE"
"d",1,0.751545953696897,"catlins","doublewell","u","FALSE","FALSE"
"largesd",1,0.762784048934992,"catlins","doublewell","u","FALSE","FALSE"
"d",2,0.785776216795085,"catlins","doublewell","u","FALSE","FALSE"
"largesd",2,0.80415392015392,"catlins","doublewell","u","FALSE","FALSE"
"d",3,0.795993374899035,"catlins","doublewell","u","FALSE","FALSE"
"largesd",3,0.811561926543059,"catlins","doublewell","u","FALSE","FALSE"
"d",4,0.80654329458103,"catlins","doublewell","u","FALSE","FALSE"
"largesd",4,0.821184368391916,"catlins","doublewell","u","FALSE","FALSE"
"d",5,0.806821530670587,"catlins","doublewell","u","FALSE","FALSE"
"largesd",5,0.825034622959151,"catlins","doublewell","u","FALSE","FALSE"
"d",6,0.908637570675306,"catlins","doublewell","u","FALSE","FALSE"
"largesd",6,0.908637570675306,"catlins","doublewell","u","FALSE","FALSE"
"d",1,0.743545069570478,"catlins","doublewell","u","TRUE","FALSE"
"largesd",1,0.765565638233515,"catlins","doublewell","u","TRUE","FALSE"
"d",2,0.794301885631671,"catlins","doublewell","u","TRUE","FALSE"
"largesd",2,0.816848667548474,"catlins","doublewell","u","TRUE","FALSE"
"d",3,0.797003496467645,"catlins","doublewell","u","TRUE","FALSE"
"largesd",3,0.823467142432352,"catlins","doublewell","u","TRUE","FALSE"
"d",4,0.816210485301506,"catlins","doublewell","u","TRUE","FALSE"
"largesd",4,0.832160940047371,"catlins","doublewell","u","TRUE","FALSE"
"d",5,0.82233596850103,"catlins","doublewell","u","TRUE","FALSE"
"largesd",5,0.837958308981103,"catlins","doublewell","u","TRUE","FALSE"
"d",6,0.918555066802014,"catlins","doublewell","u","TRUE","FALSE"
"largesd",6,0.918555066802014,"catlins","doublewell","u","TRUE","FALSE"
"d",1,0.754502814605186,"catlins","doublewell","u","TRUE","TRUE"
"largesd",1,0.736061521424836,"catlins","doublewell","u","TRUE","TRUE"
"d",2,0.75535783936756,"catlins","doublewell","u","TRUE","TRUE"
"largesd",2,0.757472002624914,"catlins","doublewell","u","TRUE","TRUE"
"d",3,0.760937217385955,"catlins","doublewell","u","TRUE","TRUE"
"largesd",3,0.772173244332339,"catlins","doublewell","u","TRUE","TRUE"
"d",4,0.763072995170568,"catlins","doublewell","u","TRUE","TRUE"
"largesd",4,0.783765726414224,"catlins","doublewell","u","TRUE","TRUE"
"d",5,0.762723881591764,"catlins","doublewell","u","TRUE","TRUE"
"largesd",5,0.792631784018784,"catlins","doublewell","u","TRUE","TRUE"
"d",6,0.8907416407764,"catlins","doublewell","u","TRUE","TRUE"
"largesd",6,0.8907416407764,"catlins","doublewell","u","TRUE","TRUE"
"d",1,-0.100985507246377,"catlins","genereg","D","FALSE","FALSE"
"largesd",1,-0.081175983436853,"catlins","genereg","D","FALSE","FALSE"
"d",2,-0.105242236024845,"catlins","genereg","D","FALSE","FALSE"
"largesd",2,-0.100952380952381,"catlins","genereg","D","FALSE","FALSE"
"d",3,-0.131047619047619,"catlins","genereg","D","FALSE","FALSE"
"largesd",3,-0.132687370600414,"catlins","genereg","D","FALSE","FALSE"
"d",4,-0.140968944099379,"catlins","genereg","D","FALSE","FALSE"
"largesd",4,-0.152811594202899,"catlins","genereg","D","FALSE","FALSE"
"d",5,-0.146865424430642,"catlins","genereg","D","FALSE","FALSE"
"largesd",5,-0.162153209109731,"catlins","genereg","D","FALSE","FALSE"
"d",6,-0.234997929606625,"catlins","genereg","D","FALSE","FALSE"
"largesd",6,-0.234997929606625,"catlins","genereg","D","FALSE","FALSE"
"d",1,-0.0317665130568356,"catlins","genereg","D","TRUE","FALSE"
"largesd",1,-0.0741218637992831,"catlins","genereg","D","TRUE","FALSE"
"d",2,-0.0528417818740399,"catlins","genereg","D","TRUE","FALSE"
"largesd",2,-0.0952176139272913,"catlins","genereg","D","TRUE","FALSE"
"d",3,-0.0631848438300051,"catlins","genereg","D","TRUE","FALSE"
"largesd",3,-0.122007168458781,"catlins","genereg","D","TRUE","FALSE"
"d",4,-0.0864925755248336,"catlins","genereg","D","TRUE","FALSE"
"largesd",4,-0.124690220174091,"catlins","genereg","D","TRUE","FALSE"
"d",5,-0.0915514592933948,"catlins","genereg","D","TRUE","FALSE"
"largesd",5,-0.147096774193548,"catlins","genereg","D","TRUE","FALSE"
"d",6,-0.165980542754736,"catlins","genereg","D","TRUE","FALSE"
"largesd",6,-0.165980542754736,"catlins","genereg","D","TRUE","FALSE"
"d",1,-0.0524116743471582,"catlins","genereg","D","TRUE","TRUE"
"largesd",1,-0.0679365079365079,"catlins","genereg","D","TRUE","TRUE"
"d",2,-0.09810547875064,"catlins","genereg","D","TRUE","TRUE"
"largesd",2,-0.0791193036354327,"catlins","genereg","D","TRUE","TRUE"
"d",3,-0.116169994879672,"catlins","genereg","D","TRUE","TRUE"
"largesd",3,-0.0931080389144905,"catlins","genereg","D","TRUE","TRUE"
"d",4,-0.14410650281618,"catlins","genereg","D","TRUE","TRUE"
"largesd",4,-0.0972657450076805,"catlins","genereg","D","TRUE","TRUE"
"d",5,-0.107834101382488,"catlins","genereg","D","TRUE","TRUE"
"largesd",5,-0.106748591909882,"catlins","genereg","D","TRUE","TRUE"
"d",6,-0.154531490015361,"catlins","genereg","D","TRUE","TRUE"
"largesd",6,-0.154531490015361,"catlins","genereg","D","TRUE","TRUE"
"d",1,-0.0693669011477231,"catlins","genereg","u","FALSE","FALSE"
"largesd",1,-0.210944094779711,"catlins","genereg","u","FALSE","FALSE"
"d",2,-0.110758978156238,"catlins","genereg","u","FALSE","FALSE"
"largesd",2,-0.242428730099963,"catlins","genereg","u","FALSE","FALSE"
"d",3,-0.129477971121807,"catlins","genereg","u","FALSE","FALSE"
"largesd",3,-0.259755646057016,"catlins","genereg","u","FALSE","FALSE"
"d",4,-0.0955349870418363,"catlins","genereg","u","FALSE","FALSE"
"largesd",4,-0.27210662717512,"catlins","genereg","u","FALSE","FALSE"
"d",5,-0.135268419104036,"catlins","genereg","u","FALSE","FALSE"
"largesd",5,-0.274476119955572,"catlins","genereg","u","FALSE","FALSE"
"d",6,-0.255179563124769,"catlins","genereg","u","FALSE","FALSE"
"largesd",6,-0.255179563124769,"catlins","genereg","u","FALSE","FALSE"
"d",1,-0.149973661106234,"catlins","genereg","u","TRUE","FALSE"
"largesd",1,-0.400070237050044,"catlins","genereg","u","TRUE","FALSE"
"d",2,-0.145689201053556,"catlins","genereg","u","TRUE","FALSE"
"largesd",2,-0.421422300263389,"catlins","genereg","u","TRUE","FALSE"
"d",3,-0.158454784899034,"catlins","genereg","u","TRUE","FALSE"
"largesd",3,-0.420438981562774,"catlins","genereg","u","TRUE","FALSE"
"d",4,-0.199034240561896,"catlins","genereg","u","TRUE","FALSE"
"largesd",4,-0.412133450395083,"catlins","genereg","u","TRUE","FALSE"
"d",5,-0.185092186128183,"catlins","genereg","u","TRUE","FALSE"
"largesd",5,-0.398542581211589,"catlins","genereg","u","TRUE","FALSE"
"d",6,-0.28684811237928,"catlins","genereg","u","TRUE","FALSE"
"largesd",6,-0.28684811237928,"catlins","genereg","u","TRUE","FALSE"
"d",1,-0.65982440737489,"catlins","genereg","u","TRUE","TRUE"
"largesd",1,-0.0847058823529412,"catlins","genereg","u","TRUE","TRUE"
"d",2,-0.559209833187006,"catlins","genereg","u","TRUE","TRUE"
"largesd",2,-0.0756804214223003,"catlins","genereg","u","TRUE","TRUE"
"d",3,-0.506022827041264,"catlins","genereg","u","TRUE","TRUE"
"largesd",3,-0.0963125548726953,"catlins","genereg","u","TRUE","TRUE"
"d",4,-0.48198419666374,"catlins","genereg","u","TRUE","TRUE"
"largesd",4,-0.095873573309921,"catlins","genereg","u","TRUE","TRUE"
